date,store_id,state,product_id,sales,price,cost,margin,out_of_stock_pct
2024-01-01,100,NY,Banana,190,2.43,1.77,125.4,8.24
2024-01-02,100,NY,Banana,214,2.79,1.75,222.56,3.83
2024-01-03,100,NY,Banana,217,2.82,1.95,188.79,2.65
2024-01-04,100,NY,Banana,199,2.62,1.7,183.08,2.67
2024-01-05,100,NY,Banana,196,2.23,1.41,160.72,0.0
2024-01-06,100,NY,Banana,182,2.21,1.59,112.84,6.57
2024-01-07,100,NY,Banana,177,2.11,1.51,106.2,12.33
2024-01-08,100,NY,Banana,193,2.73,1.81,177.56,0.0
2024-01-09,100,NY,Banana,188,2.79,1.82,182.36,0.0
2024-01-10,100,NY,Banana,208,2.05,1.67,79.04,3.54
2024-01-11,100,NY,Banana,190,2.98,2.17,153.9,4.93
2024-01-12,100,NY,Banana,182,2.54,1.96,105.56,0.0
2024-01-13,100,NY,Banana,208,2.08,1.4,141.44,0.0
2024-01-14,100,NY,Banana,209,2.53,1.94,123.31,5.86
2024-01-15,100,NY,Banana,203,2.23,1.73,101.5,0.0
2024-01-16,100,NY,Banana,191,2.07,1.7,70.67,10.29
2024-01-17,100,NY,Banana,212,1.92,1.44,101.76,6.62
2024-01-18,100,NY,Banana,197,2.37,1.66,139.87,8.06
2024-01-19,100,NY,Banana,225,2.46,1.98,108.0,0.8
2024-01-20,100,NY,Banana,197,2.77,1.86,179.27,9.88
2024-01-21,100,NY,Banana,193,2.69,1.76,179.49,0.0
2024-01-22,100,NY,Banana,177,2.83,1.96,153.99,11.78
2024-01-23,100,NY,Banana,198,2.96,2.0,190.08,6.81
2024-01-24,100,NY,Banana,184,2.77,1.87,165.6,12.69
2024-01-25,100,NY,Banana,194,3.23,2.11,217.28,0.0
2024-01-26,100,NY,Banana,209,2.58,1.81,160.93,3.5
2024-01-27,100,NY,Banana,193,2.16,1.4,146.68,3.9
2024-01-28,100,NY,Banana,195,3.09,2.09,195.0,2.41
2024-01-29,100,NY,Banana,170,2.55,1.69,146.2,9.58
2024-01-30,100,NY,Banana,190,2.33,1.69,121.6,7.57
2024-01-31,100,NY,Banana,182,2.95,1.99,174.72,1.49
2024-02-01,100,NY,Banana,171,2.63,1.72,155.61,0.0
2024-02-02,100,NY,Banana,181,2.63,1.85,141.18,5.03
2024-02-03,100,NY,Banana,168,2.28,1.51,129.36,2.9
2024-02-04,100,NY,Banana,163,2.38,1.63,122.25,4.19
2024-02-05,100,NY,Banana,176,2.8,2.17,110.88,5.87
2024-02-06,100,NY,Banana,171,2.24,1.78,78.66,0.0
2024-02-07,100,NY,Banana,163,2.9,1.81,177.67,17.32
2024-02-08,100,NY,Banana,158,2.4,1.86,85.32,4.83
2024-02-09,100,NY,Banana,137,2.93,2.02,124.67,8.76
2024-02-10,100,NY,Banana,175,1.97,1.61,63.0,12.01
2024-02-11,100,NY,Banana,130,2.52,1.91,79.3,15.95
2024-02-12,100,NY,Banana,137,2.42,1.68,101.38,5.5
2024-02-13,100,NY,Banana,146,1.94,1.48,67.16,5.34
2024-02-14,100,NY,Banana,134,2.86,1.89,129.98,0.4
2024-02-15,100,NY,Banana,186,2.58,1.64,174.84,3.39
2024-02-16,100,NY,Banana,172,2.32,1.55,132.44,6.14
2024-02-17,100,NY,Banana,182,2.27,1.47,145.6,5.92
2024-02-18,100,NY,Banana,162,2.79,1.95,136.08,0.0
2024-02-19,100,NY,Banana,131,2.69,1.9,103.49,6.48
2024-02-20,100,NY,Banana,164,2.36,1.86,82.0,1.6
2024-02-21,100,NY,Banana,165,2.4,1.85,90.75,1.43
2024-02-22,100,NY,Banana,199,2.52,1.89,125.37,0.0
2024-02-23,100,NY,Banana,177,2.46,1.6,152.22,8.94
2024-02-24,100,NY,Banana,189,2.27,1.63,120.96,9.82
2024-02-25,100,NY,Banana,176,2.64,1.96,119.68,14.48
2024-02-26,100,NY,Banana,165,2.18,1.64,89.1,0.55
2024-02-27,100,NY,Banana,156,2.38,1.78,93.6,6.71
2024-02-28,100,NY,Banana,181,2.84,1.96,159.28,5.07
2024-02-29,100,NY,Banana,207,2.42,1.74,140.76,18.6
2024-03-01,100,NY,Banana,193,2.54,1.62,177.56,0.0
2024-03-02,100,NY,Banana,193,2.54,1.75,152.47,8.57
2024-03-03,100,NY,Banana,195,2.72,1.78,183.3,0.77
2024-03-04,100,NY,Banana,158,2.3,1.71,93.22,9.28
2024-03-05,100,NY,Banana,195,2.35,1.55,156.0,5.87
2024-03-06,100,NY,Banana,201,2.4,1.62,156.78,5.77
2024-03-07,100,NY,Banana,196,2.28,1.57,139.16,6.79
2024-03-08,100,NY,Banana,208,3.19,2.01,245.44,10.27
