date,store_id,state,product_id,sales,price,cost,margin,out_of_stock_pct
2024-01-01,200,TX,Banana,167,4.9,3.22,280.56,11.48
2024-01-02,200,TX,Banana,192,5.4,3.19,424.32,2.66
2024-01-03,200,TX,Banana,197,4.28,3.49,155.63,0.31
2024-01-04,200,TX,Banana,178,3.89,3.12,137.06,0.34
2024-01-05,200,TX,Banana,175,4.16,2.68,259.0,0.0
2024-01-06,200,TX,Banana,161,4.66,2.95,275.31,8.14
2024-01-07,200,TX,Banana,156,3.65,2.83,127.92,19.66
2024-01-08,200,TX,Banana,173,5.32,3.28,352.92,0.0
2024-01-09,200,TX,Banana,169,5.15,3.29,314.34,0.0
2024-01-10,200,TX,Banana,190,3.95,3.08,165.3,2.08
2024-01-11,200,TX,Banana,172,4.98,3.81,201.24,4.87
2024-01-12,200,TX,Banana,164,4.74,3.5,203.36,0.0
2024-01-13,200,TX,Banana,191,3.87,2.67,229.2,0.0
2024-01-14,200,TX,Banana,192,5.84,3.48,453.12,6.71
2024-01-15,200,TX,Banana,186,4.93,3.17,327.36,0.0
2024-01-16,200,TX,Banana,173,5.04,3.12,332.16,15.57
2024-01-17,200,TX,Banana,196,3.77,2.73,203.84,8.24
2024-01-18,200,TX,Banana,180,3.72,3.05,120.6,11.12
2024-01-19,200,TX,Banana,209,5.62,3.54,434.72,0.0
2024-01-20,200,TX,Banana,179,4.99,3.36,291.77,14.76
2024-01-21,200,TX,Banana,174,4.46,3.2,219.24,0.0
2024-01-22,200,TX,Banana,157,5.46,3.5,307.72,18.56
2024-01-23,200,TX,Banana,179,5.6,3.56,365.16,8.62
2024-01-24,200,TX,Banana,165,4.58,3.37,199.65,20.38
2024-01-25,200,TX,Banana,175,4.77,3.73,182.0,0.0
2024-01-26,200,TX,Banana,190,5.5,3.28,421.8,2.01
2024-01-27,200,TX,Banana,172,3.89,2.66,211.56,2.8
2024-01-28,200,TX,Banana,174,5.23,3.7,266.22,0.0
2024-01-29,200,TX,Banana,147,4.35,3.11,182.28,14.15
2024-01-30,200,TX,Banana,167,4.21,3.1,185.37,10.13
2024-01-31,200,TX,Banana,159,5.6,3.55,325.95,0.0
2024-02-01,200,TX,Banana,147,4.74,3.14,235.2,0.0
2024-02-02,200,TX,Banana,157,5.52,3.34,342.26,5.05
2024-02-03,200,TX,Banana,142,3.46,2.83,89.46,0.79
2024-02-04,200,TX,Banana,137,3.92,3.02,123.3,3.39
2024-02-05,200,TX,Banana,150,5.41,3.82,238.5,6.75
2024-02-06,200,TX,Banana,144,5.23,3.24,286.56,0.0
2024-02-07,200,TX,Banana,135,5.57,3.28,309.15,29.63
2024-02-08,200,TX,Banana,130,4.58,3.35,159.9,4.65
2024-02-09,200,TX,Banana,107,4.82,3.6,130.54,12.52
2024-02-10,200,TX,Banana,146,4.59,2.98,235.06,19.03
2024-02-11,200,TX,Banana,99,5.73,3.43,227.7,26.9
2024-02-12,200,TX,Banana,106,4.39,3.09,137.8,6.0
2024-02-13,200,TX,Banana,116,4.04,2.79,145.0,5.69
2024-02-14,200,TX,Banana,103,5.33,3.4,198.79,0.0
